,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
56,CAR,6.536708860759492,9.223027354217397,1.9103614457831317,7.5,53.3,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.3636363636363637,0.0,0.0
57,Malaysia,4.0,9.72625313263026,1.51,15.6,75.4,1.9,-0.3,4.574710978503383,0.01644275115299779,0.4968919189893724,29100.0,3.4
58,Colombia,5.9,9.731392500562293,2.08,22.3,76.2,1.5,-0.6,3.7612001156935615,0.042631755622692176,0.1188318227593152,14400.0,9.3
59,Equatorial Guinea,3.4,9.762171889492622,0.4,8.0,65.0,2.1,0.0,3.3672958299864737,0.0,0.0975609756097561,37400.0,8.6
60,Namibia,8.9,9.049861877399014,1.9103614457831317,17.2,64.4,2.7,0.0,1.3862943611198906,0.0,0.1875,11200.0,34.0
61,Togo,6.6,7.981227975693966,0.05,8.4,65.8,0.7,0.0,4.976733742420574,0.03896103896103896,0.4155844155844156,1700.0,6.9
62,Thailand,3.8,9.638464608017193,0.81,10.0,75.1,2.1,0.0,4.90527477843843,0.015690776884806742,0.53769613471106,17900.0,0.7
63,Belize,6.1,9.223027354217397,1.13,24.1,74.7,1.3,-0.6,2.8903717578961645,0.1111111111111111,0.0,8300.0,9.0
64,Russia,5.6,9.984988733093292,4.01,23.1,71.3,8.2,1.7,2.19722457733622,0.008056108425741636,0.08027675101886078,27900.0,5.2
65,Niger,7.2,4.370354676682432,0.05,5.5,56.3,3.2655405405405413,-0.5,2.8332133440562166,0.02456140350877193,0.15789473684210525,1200.0,0.3
66,Egypt,4.6,8.988882021697693,0.79,32.0,73.2,1.6,-0.4,4.605170185988092,0.07574468085106383,0.25063829787234043,12700.0,12.2
67,Seychelles,3.4,9.581231653602787,0.95,14.0,75.2,3.6,1.0,5.342334251964812,0.0,0.0,29300.0,3.0
68,Dominica,5.3,9.223027354217397,1.08,27.9,77.4,3.8,-5.4,4.605170185988092,0.0,0.5,11000.0,23.0
69,Madagascar,5.2,8.043631020876083,0.18,5.3,66.6,0.2,0.0,3.80666248977032,0.0,0.21296296296296294,1600.0,1.8
70,North Macedonia,6.1,9.889388252060893,2.87,22.4,75.9,3.2655405405405413,0.3152941176470587,5.91558351079193,0.048458149779735685,0.0947136563876652,14900.0,22.4
71,Iraq,6.536708860759492,8.927485648266257,0.82,30.4,74.9,1.4,-1.1,4.532599493153255,0.055714285714285716,0.5471428571428572,16700.0,16.0
72,Ireland,7.8,9.223027354217397,3.09,25.3,81.0,2.8,4.0,4.290459441148391,0.03536893457618258,0.0021778900601097657,73200.0,6.7
73,Monaco,2.0,9.223027354217397,6.56,18.593333333333334,89.4,13.8,6.5,9.639847474564585,0.010752688172043013,0.06451612903225806,115700.0,2.0
74,Panama,7.0,9.746794344808963,1.57,22.7,78.9,2.3,-0.2,3.9318256327243257,0.026580861779518745,0.02014549524342473,25400.0,6.0
75,Timor-Leste,6.536708860759492,9.223027354217397,1.9103614457831317,3.8,68.7,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.16666666666666666,0.0,0.0
76,Lithuania,6.5,9.989994994993742,4.34,26.3,75.2,7.3,-6.1,3.7841896339182615,0.02710280373831776,0.09439252336448598,32400.0,7.1
77,Bahrain,4.9,9.782637681116482,0.93,29.8,79.1,2.0,11.6,7.549082710812286,0.004581151832460733,0.4221204188481675,49000.0,3.6
78,Brunei,2.3,9.797958971132712,1.77,14.1,77.5,2.7,2.3,4.3694478524670215,0.007352941176470587,0.7867647058823529,78900.0,6.9
79,Kyrgyzstan,6.536708860759492,9.974968671630002,1.88,16.6,71.2,4.5,-5.1,3.4011973816621555,0.011627906976744186,0.16511627906976745,3700.0,7.1
80,Mauritania,4.6,7.2180329730474355,0.18,12.7,63.8,3.2655405405405413,-0.8,1.6094379124341005,0.14285714285714285,0.2857142857142857,4500.0,10.2
81,Czechia,6.536708860759492,9.223027354217397,1.9103614457831317,26.0,78.9,3.2655405405405413,0.3152941176470587,5.91558351079193,0.026345933562428408,0.10505645557191948,0.0,0.0
82,Vatican City,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.25,0.0,0.0
83,Liechtenstein,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,82.0,3.2655405405405413,5.0,5.488937726156687,0.012658227848101266,0.6962025316455697,139100.0,2.4
84,Fiji,3.6,9.223027354217397,0.84,30.2,73.2,2.3,-6.4,3.951243718581428,0.0,0.0,9800.0,4.5
85,Algeria,6.6,8.955445270895243,1.83,27.4,77.2,1.9,-0.9,2.8903717578961645,0.157487922705314,0.3338164251207729,15200.0,11.7
86,Eswatini,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.5333333333333333,0.0,0.0
87,Sudan,6.3,8.712060605849803,0.41,6.6,65.8,0.8,1.9,3.1780538303479458,0.15625,0.125,4300.0,19.6
88,Montserrat,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,74.8,3.2655405405405413,0.0,3.970291913552122,0.0,0.09090909090909093,34000.0,5.6
89,Croatia,7.2,9.964938534682489,3.13,24.4,76.3,5.6,-1.4,4.330733340286331,0.0181924882629108,0.24354460093896715,24700.0,12.4
90,Australia,9.3,9.223027354217397,3.59,29.0,82.4,3.8,5.4,1.3862943611198906,0.009507481296758104,0.560785536159601,50400.0,5.6
91,Turks and Caicos,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.1,0.0,0.0,0.0
92,Greece,8.4,9.884331034521255,4.59,24.9,80.8,4.3,2.3,4.418840607796597,0.04654377880184332,0.123963133640553,27800.0,21.5
93,Ukraine,6.1,9.989994994993742,3.01,24.1,72.4,8.8,4.6,4.30406509320417,0.029062870699881376,0.03529062870699881,8800.0,9.2
94,Syria,6.536708860759492,9.2951600308978,1.22,27.8,75.2,1.5,57.0,4.653960350157523,0.06896551724137931,0.1724137931034483,2900.0,50.0
95,Somalia,6.536708860759492,9.223027354217397,0.02,8.3,53.2,8.7,-5.6,2.9444389791664403,0.03333333333333333,0.03333333333333333,0.0,0.0
96,Montenegro,6.0,9.934787365615836,2.33,23.3,73.69005524861879,4.0,-4.9,3.80666248977032,0.01413427561837456,0.1625441696113074,17800.0,16.1
97,Italy,9.0,9.959919678390985,4.09,19.9,82.4,3.4,3.6,5.337538079701318,0.12965265127270936,0.2285091822165329,38200.0,11.3
98,Macao,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,84.6,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.2222222222222222,0.0,0.0
99,Saint Martin,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,-5.6,6.386879319362644,0.0625,0.34375,19300.0,0.0
100,Uganda,7.3,8.854377448471462,0.09,5.3,56.3,0.5,-0.7,5.135798437050261,0.0,0.14545454545454545,2400.0,9.4
101,Djibouti,3.5,9.223027354217397,0.22,13.5,64.0,1.4,5.5,3.6635616461296463,0.005509641873278237,0.14600550964187328,3600.0,40.0
102,Afghanistan,10.2,6.180614856144977,0.28,5.5,52.1,0.5,-0.6,4.007333185232471,0.03221288515406162,0.056022408963585436,2000.0,23.9
103,Ivory Coast,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.009404388714733545,0.1786833855799373,0.0,0.0
104,Luxembourg,6.0,9.223027354217397,3.03,22.6,82.4,4.9,14.8,5.45958551414416,0.020260054429996968,0.15119443604475355,105100.0,5.8
105,Jamaica,5.9,9.418067742376882,1.32,24.7,74.5,1.7,-9.4,5.54907608489522,0.0380952380952381,0.18095238095238086,9200.0,12.2
106,France,11.1,9.223027354217397,3.23,21.6,82.0,6.5,1.1,4.663439094112067,0.10976043767401936,0.20100765510840665,44100.0,9.4
107,Pakistan,2.7,7.60920495189872,0.98,8.6,68.4,0.6,-1.2,5.5683445037610975,0.016446804865513105,0.2360801781737193,5400.0,6.0
108,Congo,4.6,8.905054744357274,0.12,9.6,60.3,3.2655405405405413,0.3152941176470587,5.91558351079193,0.06756756756756757,0.13513513513513514,6800.0,36.0
109,Georgia,7.9,9.989994994993742,5.1,21.7,76.6,2.6,-1.1,4.060443010546419,0.01,0.23,10700.0,11.8
110,Diamond Princess,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.016853932584269662,0.8974719101123596,0.0,0.0
111,Denmark,10.4,9.223027354217397,4.46,19.7,81.0,2.5,4.3,4.9126548857360515,0.04592228536323145,0.3862693902626325,50100.0,5.7
112,Iceland,8.6,9.223027354217397,3.97,21.9,83.1,3.4,3.7,1.3862943611198906,0.004651162790697674,0.575,52200.0,2.8
113,Bahamas,6.4,9.223027354217397,1.94,31.6,72.9,3.2655405405405413,0.3152941176470587,5.91558351079193,0.16326530612244894,0.12244897959183673,32400.0,10.1
114,Qatar,3.1,9.864076236526156,2.78,35.1,79.0,1.2,11.5,5.3230099791384085,0.002042007001166861,0.1088098016336056,124100.0,8.9
115,Bolivia,6.9,9.617692030835672,1.61,20.2,69.8,1.1,-0.4,2.3978952727983707,0.07052896725440806,0.017632241813602016,7600.0,4.0
116,Turkey,4.1,9.808159868191384,1.76,32.1,75.3,2.7,-4.5,4.653960350157523,0.021547818340986933,0.07370490393328316,27000.0,10.9
117,New Zealand,9.3,9.223027354217397,3.03,30.8,81.4,2.8,2.2,2.8903717578961645,0.006493506493506494,0.5252525252525253,39000.0,4.7
118,Benin,3.9,6.196773353931867,0.16,9.6,62.7,0.5,0.0,4.624972813284272,0.028571428571428567,0.5142857142857142,2300.0,1.0
119,Bangladesh,2.4,8.538149682454625,0.53,3.6,73.7,0.8,-3.0,6.980075940561763,0.045454545454545456,0.041501976284584984,4200.0,4.4
120,Guinea,4.5,5.5136195008360875,0.08,7.7,62.1,0.3,0.0,3.8918202981106265,0.0,0.08539944903581267,2200.0,2.7
121,Lebanon,7.4,9.690201236300512,2.27,32.0,77.9,2.9,-40.3,6.376726947898628,0.0327613104524181,0.12480499219968799,19600.0,9.7
122,Dominican Republic,6.2,9.685040010242599,1.56,27.6,71.3,1.6,-2.6,5.3612921657094255,0.055690809494826535,0.049300060864272674,17000.0,5.1
123,Kuwait,4.0,9.797958971132712,2.58,37.9,78.3,2.0,-2.8,5.105945473900579,0.002214022140221402,0.12988929889298892,65800.0,1.1
124,Guadeloupe,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.05517241379310345,0.4620689655172414,0.0,0.0
125,Andorra,10.4,10.0,3.33,25.6,82.9,2.5,0.0,5.214935757608987,0.04704097116843703,0.19423368740515934,49900.0,3.7
126,Malta,9.6,9.715966241192897,3.83,28.9,82.7,4.7,7.8,7.259819610363187,0.0076335877862595426,0.11195928753180663,41900.0,4.6
127,Singapore,4.3,9.848857801796104,2.31,6.1,85.5,2.4,12.7,9.02857865844074,0.003075030750307503,0.18788437884378845,94100.0,2.2
128,Zambia,5.4,7.962411694957753,0.09,8.1,53.0,2.0,0.0,3.1354942159291497,0.04444444444444445,0.6666666666666666,4000.0,15.0
129,Antigua and Barbuda,4.3,9.9498743710662,2.76,18.9,76.9,3.8,2.1,5.384495062789089,0.08695652173913042,0.13043478260869565,26400.0,11.0
130,Gambia,6.7,7.44983221287567,0.11,10.3,65.4,3.2655405405405413,0.3152941176470587,5.91558351079193,0.1111111111111111,0.2222222222222222,2600.0,0.0
131,Hungary,7.2,9.954898291795852,3.23,26.4,76.3,7.0,1.3,4.672828834461906,0.08068783068783067,0.08068783068783067,29600.0,4.2
132,Mexico,5.9,9.741663102366044,2.25,28.9,76.3,1.5,-1.8,4.174387269895637,0.07519911094647158,0.3935914058158919,19900.0,3.4
133,S. Korea,7.4,9.223027354217397,2.37,4.7,82.5,11.5,2.4,6.248042874508428,0.0212444528373147,0.7191011235955056,39500.0,3.7
134,Sri Lanka,3.0,9.586448768965493,0.96,5.2,77.1,3.6,-1.3,5.843544417031361,0.030042918454935626,0.2618025751072961,12900.0,4.4
135,Saint Kitts and Nevis,5.6,9.223027354217397,2.52,22.9,76.2,4.8,1.2,5.318119993844216,0.0,0.0,28200.0,4.5
136,Isle of Man,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,81.4,3.2655405405405413,5.8,5.056245805348309,0.007874015748031496,0.5551181102362205,84600.0,1.1
137,St. Barth,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.6666666666666666,0.0,0.0
138,Austria,10.4,9.223027354217397,5.14,20.1,81.7,7.6,4.4,4.663439094112067,0.02699283002952341,0.5365527906649796,50000.0,5.5
139,Mauritius,5.5,9.654014708917735,2.54,10.8,76.0,3.7,0.0,6.507277712385013,0.027777777777777776,0.1574074074074074,22300.0,7.1
140,Laos,2.8,9.20326029187483,0.5,5.3,65.0,1.5,-1.0,3.4657359027997265,0.0,0.05263157894736842,7400.0,0.7
141,Cayman Islands,6.536708860759492,9.944847912361457,1.9103614457831317,18.593333333333334,81.4,3.2655405405405413,13.6,5.424950017481403,0.018518518518518517,0.1111111111111111,43800.0,4.0
142,Eritrea,3.0,8.590692637965812,1.9103614457831317,5.0,65.6,0.7,-13.1,3.951243718581428,0.0,0.0,1600.0,5.8
143,French Guiana,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.5930232558139535,0.0,0.0
144,Albania,6.7,9.879271228182777,1.2,21.7,78.6,2.9,-3.3,4.672828834461906,0.05052631578947368,0.5221052631578947,12500.0,13.8
145,Mayotte,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.013824884792626729,0.3179723502304148,0.0,0.0
146,Serbia,9.4,9.939818911831342,3.13,21.5,75.9,5.7,0.0,4.5217885770490405,0.021052631578947368,0.08958566629339305,15100.0,14.1
147,Costa Rica,7.6,9.889388252060893,1.15,25.7,78.9,1.1,0.8,4.59511985013459,0.0048543689320388345,0.10679611650485436,16900.0,8.1
148,Liberia,15.2,6.899275324264137,0.04,9.9,63.8,0.8,-4.7,3.7841896339182615,0.1016949152542373,0.06779661016949153,1300.0,2.8
149,Netherlands,10.7,9.223027354217397,3.51,20.4,81.5,4.7,1.9,6.025865973825314,0.1074072723294066,0.009117765053430104,53900.0,4.9
150,Zimbabwe,10.3,9.300537618869136,0.08,15.5,61.1,1.7,-7.3,3.610917912644224,0.16666666666666666,0.05555555555555555,2300.0,11.3
151,Belarus,6.3,9.984988733093292,4.08,24.5,73.2,11.0,0.7,3.8501476017100575,0.010057909174032308,0.061871380676622977,18900.0,0.8
152,Chile,8.5,9.843779761859773,1.08,28.0,79.1,2.2,0.3,3.218875824868201,0.011620563344701277,0.3342175066312997,24600.0,6.7
153,New Caledonia,6.536708860759492,9.843779761859773,2.22,18.593333333333334,78.0,3.2655405405405413,3.9,2.772588722239781,0.0,0.05555555555555555,31100.0,14.7
154,Ecuador,8.4,9.715966241192897,2.05,19.9,77.1,1.5,0.0,4.07753744390572,0.04853347362883072,0.09154281204787584,11500.0,4.6
155,Saint Lucia,6.0,9.223027354217397,0.11,19.7,78.1,1.3,-2.2,5.598421958998375,0.0,0.7333333333333333,14400.0,20.0
156,Mozambique,5.4,7.483314773547883,0.07,7.2,54.1,0.7,-1.8,3.555348061489413,0.0,0.07142857142857142,1300.0,24.5
157,Canada,10.5,9.223027354217397,2.61,29.4,82.0,2.7,5.7,1.6094379124341005,0.0333665890699479,0.304289990023279,48400.0,6.3
158,Bulgaria,8.2,9.919677414109795,3.99,25.0,74.8,6.8,-0.3,4.174387269895637,0.049088359046283316,0.11360448807854134,21800.0,6.2
