country,health_expend,literacy,physicians_density,obesity,life_expect,h_bed_density,imigrate_rate,pop_density,death_rate,recovery_rate,GDP,unemp_rate
Norway,10.0,94.4,4.63,23.1,82.0,3.8,5.3,17.0,0.020987467914842208,0.00483164728974785,72100.0,4.2
Oman,3.8,96.1,1.97,27.0,75.9,1.6,-0.4,15.0,0.004920049200492005,0.15990159901599016,46000.0,0.0
Pakistan,2.7,57.9,0.98,8.6,68.4,0.6,-1.2,261.0,0.016446804865513105,0.2360801781737193,5400.0,6.0
Palestine,6.2,94.4,1.78,20.6,75.4,2.7,-0.2,90.5,0.006493506493506494,0.2012987012987013,0.0,0.0
Panama,7.0,95.0,1.57,22.7,78.9,2.3,-0.2,50.0,0.026580861779518745,0.02014549524342473,25400.0,6.0
Papua New Guinea,3.8,64.2,0.05,21.3,67.5,2.7,0.0,15.0,0.0,0.0,3700.0,2.5
Paraguay,7.8,94.7,1.37,20.3,77.6,1.3,-0.1,17.0,0.049689440993788817,0.14285714285714285,12800.0,5.7
Peru,5.3,94.2,1.27,19.7,74.2,1.6,-2.1,24.0,0.022323595069397264,0.27846258371348154,13500.0,6.9
Philippines,4.4,96.3,1.28,6.4,69.6,1.0,-1.9,353.0,0.06413938349607505,0.05648094964579744,8400.0,5.7
Poland,6.3,99.8,2.4,23.1,77.9,6.5,-0.4,123.0,0.03651763399055818,0.08580949736184393,29600.0,4.9
Portugal,9.0,95.7,3.34,20.8,80.9,3.4,-0.2,112.0,0.03249656121045392,0.0198876662081614,30500.0,8.9
Qatar,3.1,97.3,2.78,35.1,79.0,1.2,11.5,204.0,0.002042007001166861,0.1088098016336056,124100.0,8.9
Romania,5.0,98.8,2.26,22.5,75.6,6.3,-0.2,90.0,0.0510248582642826,0.15278383485971794,24600.0,4.9
Russia,5.6,99.7,4.01,23.1,71.3,8.2,1.7,8.0,0.008056108425741636,0.08027675101886078,27900.0,5.2
Rwanda,7.9,70.5,0.13,5.8,64.5,2.7,-0.5,463.0,0.0,0.3656716417910448,2100.0,2.7
S. Korea,7.4,94.4,2.37,4.7,82.5,11.5,2.4,516.0,0.0212444528373147,0.7191011235955056,39500.0,3.7
Saint Kitts and Nevis,5.6,94.4,2.52,22.9,76.2,4.8,1.2,203.0,0.0,0.0,28200.0,4.5
Saint Lucia,6.0,94.4,0.11,19.7,78.1,1.3,-2.2,269.0,0.0,0.7333333333333333,14400.0,20.0
