,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
101,Kyrgyzstan,6.536708860759492,9.974968671630002,1.88,16.6,71.2,4.5,-5.1,3.4011973816621555,0.011627906976744186,0.16511627906976745,3700.0,7.1
102,Laos,2.8,9.20326029187483,0.5,5.3,65.0,1.5,-1.0,3.4657359027997265,0.0,0.05263157894736842,7400.0,0.7
103,Latvia,5.8,9.99499874937461,3.19,23.6,74.9,5.8,-6.0,3.4339872044851463,0.0076103500761035,0.0243531202435312,27700.0,8.7
104,Lebanon,7.4,9.690201236300513,2.27,32.0,77.9,2.9,-40.3,6.376726947898627,0.0327613104524181,0.124804992199688,19600.0,9.7
105,Liberia,15.2,6.899275324264136,0.04,9.9,63.8,0.8,-4.7,3.784189633918261,0.1016949152542373,0.06779661016949153,1300.0,2.8
106,Libya,6.536708860759492,9.539392014169456,2.16,32.5,76.9,3.7,0.9,1.6094379124341003,0.028571428571428567,0.2571428571428571,9600.0,30.0
107,Liechtenstein,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,82.0,3.2655405405405413,5.0,5.488937726156687,0.012658227848101266,0.6962025316455697,139100.0,2.4
108,Lithuania,6.5,9.989994994993742,4.34,26.3,75.2,7.3,-6.1,3.784189633918261,0.02710280373831776,0.09439252336448598,32400.0,7.1
109,Luxembourg,6.0,9.223027354217395,3.03,22.6,82.4,4.9,14.8,5.459585514144159,0.02026005442999697,0.15119443604475355,105100.0,5.8
110,MS Zaandam,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.2222222222222222,0.0,0.0,0.0
111,Macao,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,84.6,3.2655405405405413,0.3152941176470587,0.0,0.0,0.2222222222222222,0.0,0.0
112,Madagascar,5.2,8.043631020876083,0.18,5.3,66.6,0.2,0.0,3.8066624897703196,0.0,0.21296296296296294,1600.0,1.8
